0,0,,19:10,1,1095,太原,,,,,,,
21,0,19:31,19:36,2,1095,榆次,53,58,61,78.5,84.5,,7
53,0,20:03,20:05,3,1095,太谷,56.5,61.5,64.5,85.5,91.5,,10.5
73,0,20:23,20:25,4,1095,祁县,58.5,63.5,66.5,88.5,94.5,,12.5
90,0,20:40,20:44,5,1095,平遥,60,65.5,68.5,94.5,100.5,,14.5
119,0,21:09,21:13,6,1095,介休,64.5,69.5,72.5,99.5,105.5,,18.5
148,0,21:38,21:40,7,1095,灵石,67.5,72.5,75.5,105.5,111.5,,21.5
186,0,22:16,22:18,8,1095,霍州,75.5,80.5,83.5,115.5,121.5,,29.5
226,0,22:56,22:58,9,1095,洪洞,81.5,86.5,89.5,124.5,130.5,,35.5
251,0,23:21,23:27,10,1095,临汾,82.5,87.5,90.5,127.5,133.5,,36.5
306,1,00:16,00:20,11,1095,侯马,91,96,99,141,147,,45
339,1,00:49,00:51,12,1095,稷山,93.5,98.5,101.5,146.5,152.5,,47.5
364,1,01:14,01:16,13,1095,河津,94.5,99.5,102.5,149.5,155.5,,48.5
416,1,02:06,02:18,14,1095,韩城,107.5,111.5,114.5,167.5,174.5,,56.5
471,1,03:01,03:04,15,1095,合阳北,120,123,127,188,195,,63
642,1,05:52,06:12,16,1095,西安,152,157,163,240,252,,82
709,1,06:59,07:02,17,1095,武功,,,,,,,
814,1,08:44,08:52,18,1095,宝鸡,180,186,194,287,301,,98
903,1,10:13,10:19,19,1095,天水,207.5,215.5,222.5,333.5,348.5,,113.5
951,1,11:01,11:03,20,1095,甘谷,,,,,,,
1002,1,11:52,11:58,21,1095,陇西,236.5,245.5,254.5,380.5,397.5,,130.5
1064,1,12:54,12:56,22,1095,定西,243.5,252.5,261.5,391.5,409.5,,134.5
1167,1,14:37,14:52,23,1095,兰州,268.5,278.5,287.5,430.5,450.5,,148.5
1194,1,15:04,,24,1095,兰州西,272.5,284.5,291.5,434.5,454.5,,152.5
0,0,,16:27,1,1096,兰州西,,,,,,,
12,0,16:39,16:49,2,1096,兰州,52,54,59,76,86,,6
102,0,18:09,18:11,3,1096,定西,63.5,66,72,97.5,110,,17.5
157,0,19:04,19:06,4,1096,陇西,75.5,79,86,115.5,131,,29.5
213,0,20:00,20:02,5,1096,甘谷,84.5,88,96,130.5,147,,38.5
289,0,21:16,21:20,6,1096,天水,91.5,95,104,143.5,162,,45.5
451,0,23:58,00:05,7,1096,宝鸡,120,125,136,188,212,,63
548,1,01:35,01:51,8,1096,咸阳,147,153,166,232,262,,80
588,1,02:15,02:30,9,1096,西安,152,158,172,240,271,,82
758,1,05:05,05:07,10,1096,合阳北,186,194,210,298,336,,101
801,1,05:48,06:08,11,1096,韩城,193,201,218,310,350,,105
